municipality,nom_ent,nom_mun,margination,T_mortalidad,T_mortalidad_Rural,T_mortalidad_Urbano,pct_single,avg_children_born,pct_fem_primary_degree,insurance_none,avg_prenatal_consults
7115,Chiapas,Maravilla Tenejapa,0.262519937,3.96039604,0,3.96039604,37.5,3,7.2,83,5.296117319
7116,Chiapas,Marqués de Comillas,0.085950172,0,0,0,37.6,3.1,15.6,576,4.424673526
7117,Chiapas,Montecristo de Guerrero,-0.135806681,2.427184466,0,7.092198582,37,3,17.5,96,5.602552331
7118,Chiapas,San Andrés Duraznal,0.35377868,0,0,0,28.7,2.9,6.5,12,4.65
7119,Chiapas,Santiago el Pinar,0.455985239,100,0,100,36.8,2.3,-6,4,4.398809524
8001,Chihuahua,Ahumada,-1.181715833,1.834862385,2.673796791,0,31.7,2.6,20.6,89,6.13733144
8002,Chihuahua,Aldama,-1.304876092,0,0,0,30.1,2.5,20.6,11,6.924873822
8003,Chihuahua,Allende,-1.274878024,0,0,0,32.6,2.6,22.5,238,8.080887011
8004,Chihuahua,Aquiles Serdán,-1.152961976,0,0,0,29.2,2.1,21.4,0,6.932617929
8005,Chihuahua,Ascensión,-1.079575704,0,0,0,31,2.8,16.6,235,5.669845229
8006,Chihuahua,Bachíniva,-1.055381883,3.6900369,0,3.6900369,25.4,3.1,14,15,7.172922078
8007,Chihuahua,Balleza,0.513774208,3.703703704,0,3.703703704,33.6,3,16.6,384,5.789066637
8008,Chihuahua,Batopilas,1.358149185,5.662514156,0,5.662514156,31.3,3.1,10.2,271,5.204247823
8009,Chihuahua,Bocoyna,-0.325958215,2.142245073,1.465201465,3.095975232,33,2.6,17.8,1201,6.222821758
8010,Chihuahua,Buenaventura,-1.166447015,3.986710963,2.544529262,9.202453988,29.1,2.7,16.1,187,6.055477581
8011,Chihuahua,Camargo,-1.352418633,0.345901072,0.40866367,0,32.4,2.4,27.5,367,7.909170388
8012,Chihuahua,Carichí,0.705691723,15.5210643,0,15.5210643,30.3,3,20.6,162,4.844767254
8013,Chihuahua,Casas Grandes,-1.132152612,1.831501832,2.762430939,0,30.3,2.8,17.2,30,6.437165824
8014,Chihuahua,Coronado,-1.174431699,0,0,0,31.3,3,24.5,19,7.401737968
8015,Chihuahua,Coyame del Sotol,-0.929871386,0,0,0,28.3,3,17.4,8,6.683035714
8016,Chihuahua,La Cruz,-1.301341411,0,0,0,30.9,2.8,25.2,22,7.998986545
8017,Chihuahua,Cuauhtémoc,-1.409114252,0.541956463,0.30565461,2.388535032,32,2.4,21.2,1301,7.271852727
8018,Chihuahua,Cusihuiriachi,-1.138524825,0,0,0,28.2,3,9.7,53,7.302177126
8019,Chihuahua,Chihuahua,-1.529693003,0.387596899,0.389673648,0,35.5,2.1,22.7,4552,7.422352146
8020,Chihuahua,Chínipas,0.213416598,2.96735905,0,2.96735905,35.1,3,25.8,97,7.013907802
8021,Chihuahua,Delicias,-1.423174596,0.460988821,0.472087808,0,32.6,2.3,25.7,228,6.791674279
8022,Chihuahua,Dr. Belisario Domínguez,-1.107162144,0,0,0,26.4,3.3,30.3,3,7.194444444
8023,Chihuahua,Galeana,-1.103881704,0,0,0,33.3,2.7,14.5,44,5.826819215
8024,Chihuahua,Santa Isabel,-1.275597841,0,0,0,34.2,2.9,19.2,5,8.06984127
8025,Chihuahua,Gómez Farías,-1.256914773,1.949317739,0,7.462686567,28.5,2.7,20.4,52,5.524769564
8026,Chihuahua,Gran Morelos,-1.089070863,0,0,0,28.9,3.3,16.8,5,7.264285714
8027,Chihuahua,Guachochi,0.613989466,4.352557127,0.600600601,7.458975634,29.8,2.8,17.4,1204,5.775113894
8028,Chihuahua,Guadalupe,-1.146849319,10.20408163,0,200,34.6,2.8,14.6,10,6.853462158
8029,Chihuahua,Guadalupe y Calvo,0.740105991,1.837813003,1.949317739,1.776830135,34.7,3,17.6,891,6.066528167
8030,Chihuahua,Guazapares,0.134032618,0,0,0,34.6,3.1,17.6,156,6.379137927
8031,Chihuahua,Guerrero,-0.967652778,1.477832512,0.827129859,2.436053593,30.6,2.8,17.4,422,7.040978468
8032,Chihuahua,Hidalgo del Parral,-1.426692316,0.352858151,0.357185379,0,34.6,2.3,25.1,339,8.116953904
8033,Chihuahua,Huejotitán,-0.809092183,0,0,0,30.8,3,12.8,1,7.027380952
8034,Chihuahua,Ignacio Zaragoza,-1.246055004,0,0,0,26.3,3,14.4,29,5.313810392
8035,Chihuahua,Janos,-1.084331863,0,0,0,32.1,3.1,9.9,168,5.27246491
8036,Chihuahua,Jiménez,-1.257608271,0,0,0,33.7,2.5,27.8,149,7.058550564
8037,Chihuahua,Juárez,-1.411735338,0.615785851,0.616157833,0,33.3,2.2,20,6072,6.70757183
8038,Chihuahua,Julimes,-1.161363033,0,0,0,29.9,2.8,20.5,9,6.212325619
8039,Chihuahua,López,-1.268649565,0,0,0,30.4,3,29.6,36,7.366964286
8040,Chihuahua,Madera,-1.055662666,0.603136309,0.760456274,0,30.6,2.8,22.5,141,6.15066112
8041,Chihuahua,Maguarichi,0.033262415,0,0,0,28.2,3.1,17.2,47,6.001309524
